pressure index,i_d index,thrust index,tank pressure,inner diameter,thrust,max_alt,dry_mass,mass_fins,mass_eng,mass_tank,mass_str,mass_avionics,total length (ft),total length (in),tank_length,str_length,Isp,outer diameter,tank thickness,length_LOX,length_CH4,time to apogee,max_vel,max_Mach,max_acc,alt_max_vel,T2W,heat flux
1,1,1,400,5.75,800,42529,68.774,8.8867,5.0536,18.066,23.648,1.8799,17.45,209.43,72.43,90.502,203.08,6,0.125,31.217,35.214,53.661,594.93,1.8198,72.625,11214,158.3,0.82739
1,2,1,400,6,800,42613,66.609,7.7917,5.1296,17.49,22.878,1.8799,16.37,196.4,66.78,83.117,203.08,6.25,0.125,28.19,32.34,52.634,600.55,1.8383,74.489,11408,155.96,0.82067
2,1,1,450,5.75,800,42637,68.237,8.763,4.929,17.777,23.648,1.8799,17.35,208.23,71.231,90.502,206.61,6,0.125,30.618,34.612,53.856,599.86,1.8357,73.591,11329,162.31,0.90905
2,2,1,450,6,800,42711,66.087,7.6876,4.9904,17.213,22.878,1.8799,16.28,195.3,65.678,83.117,206.61,6.25,0.125,27.64,31.788,52.804,605.35,1.8538,75.481,11524,160.31,0.90166
3,1,1,500,5.75,800,42734,67.814,8.6615,4.8474,17.537,23.648,1.8799,17.27,207.24,70.237,90.502,209.62,6,0.125,30.123,34.114,54.013,603.85,1.8486,74.386,11423,165.04,0.98954
3,2,1,500,6,800,42753,65.681,7.6022,4.8998,16.983,22.878,1.8799,16.20,194.38,64.766,83.117,209.62,6.25,0.125,27.185,31.331,52.941,609.2,1.8663,76.297,11618,163.27,0.9815
1,1,2,400,5.75,850,42813,68.774,8.8867,5.0536,18.066,23.648,1.8799,17.45,209.43,72.43,90.502,203.08,6,0.125,31.217,35.214,53.2,604,1.844,78.084,10697,168.2,0.82739
1,2,2,400,6,850,42846,66.609,7.7917,5.1296,17.49,22.878,1.8799,16.37,196.4,66.78,83.117,203.08,6.25,0.125,28.19,32.34,52.143,609.92,1.8634,80.064,10884,165.71,0.82067
2,1,2,450,5.75,850,42866,68.237,8.763,4.929,17.777,23.648,1.8799,17.35,208.23,71.231,90.502,206.61,6,0.125,30.618,34.612,53.389,609,1.8601,79.11,10806,172.45,0.90905
2,2,2,450,6,850,42926,66.087,7.6876,4.9904,17.213,22.878,1.8799,16.28,195.3,65.678,83.117,206.61,6.25,0.125,27.64,31.788,52.308,614.79,1.879,81.119,10993,170.33,0.90166
3,1,2,500,5.75,850,42971,67.814,8.6615,4.8474,17.537,23.648,1.8799,17.27,207.24,70.237,90.502,209.62,6,0.125,30.123,34.114,53.543,613.04,1.873,79.955,10895,175.35,0.98954
3,2,2,500,6,850,42991,65.681,7.6022,4.8998,16.983,22.878,1.8799,16.20,194.38,64.766,83.117,209.62,6.25,0.125,27.185,31.331,52.441,618.7,1.8916,81.985,11082,173.48,0.9815
1,1,3,400,5.75,900,43047,68.774,8.8867,5.0536,18.066,23.648,1.8799,17.45,209.43,72.43,90.502,203.08,6,0.125,31.217,35.214,52.792,612.41,1.8665,83.542,10227,178.09,0.82739
1,2,3,400,6,900,43119,66.609,7.7917,5.1296,17.49,22.878,1.8799,16.37,196.4,66.78,83.117,203.08,6.25,0.125,28.19,32.34,51.71,618.63,1.8867,85.639,10407,175.45,0.82067
2,1,3,450,5.75,900,43166,68.237,8.763,4.929,17.777,23.648,1.8799,17.35,208.23,71.231,90.502,206.61,6,0.125,30.618,34.612,52.977,617.47,1.8826,84.628,10332,182.59,0.90905
2,2,3,450,6,900,43241,66.087,7.6876,4.9904,17.213,22.878,1.8799,16.28,195.3,65.678,83.117,206.61,6.25,0.125,27.64,31.788,51.869,623.57,1.9025,86.756,10512,180.35,0.90166
3,1,3,500,5.75,900,43296,67.814,8.6615,4.8474,17.537,23.648,1.8799,17.27,207.24,70.237,90.502,209.62,6,0.125,30.123,34.114,53.127,621.56,1.8957,85.524,10416,185.67,0.98954
3,2,3,500,6,900,43328,65.681,7.6022,4.8998,16.983,22.878,1.8799,16.20,194.38,64.766,83.117,209.62,6.25,0.125,27.185,31.331,51.999,627.53,1.9152,87.673,10596,183.68,0.9815
1,1,4,400,5.75,950,43375,68.774,8.8867,5.0536,18.066,23.648,1.8799,17.45,209.43,72.43,90.502,203.08,6,0.125,31.217,35.214,52.418,620.07,1.8868,89.001,9794.3,187.98,0.82739
