pressure index,i_d index,thrust index,tank pressure,inner diameter,thrust,max_alt,dry_mass,mass_fins,mass_eng,mass_tank,mass_str,mass_avionics,Total_length (ft),total length,tank_length,str_length,Isp,outer diameter,CH4 thickness,LOX thickness,time to apogee,max_vel,max_Mach,max_acc,alt_max_vel,T2W,heat flux
1,1,1,400,5.25,800,42505,77.581,11.067,4.9345,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,203.08,5.5,0.125,0.125,54.399,555.33,1.693,65.786,3140.9,162.12,0.84192
1,2,1,400,5.5,800,42534,73.896,9.4594,4.9888,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,203.08,5.75,0.125,0.125,53.984,570.85,1.7426,68.513,3250.7,160.36,0.83447
1,3,1,400,5.75,800,42587,70.862,8.2192,5.0536,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,203.08,6,0.125,0.125,53.281,582.22,1.7792,70.901,3340,158.3,0.82739
2,1,1,450,5.25,800,42587,77.482,11.067,4.8358,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,206.61,5.5,0.125,0.125,54.523,557.4,1.6996,66.286,3157.2,165.43,0.92501
2,2,1,450,5.5,800,42647,73.785,9.4594,4.8777,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,206.61,5.75,0.125,0.125,54.106,573.04,1.7497,69.057,3268.2,164.01,0.91682
2,3,1,450,5.75,800,42695,70.737,8.2192,4.929,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,206.61,6,0.125,0.125,53.399,584.51,1.7867,71.488,3358.6,162.31,0.90905
2,4,1,450,6,800,42710,68.177,7.2494,4.9904,23.179,22.878,1.8799,15.88,190.54,60.928,83.117,206.61,6.25,0.125,0.125,52.489,592.53,1.8128,73.642,3431.7,160.31,0.90166
3,1,1,500,5.25,800,42758,77.417,11.067,4.7705,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,209.62,5.5,0.125,0.125,54.622,559.02,1.7048,66.693,3170.1,167.7,1.0069
3,2,1,500,5.5,800,42765,73.711,9.4594,4.8045,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,209.62,5.75,0.125,0.125,54.203,574.75,1.7552,69.499,3282.1,166.51,0.998
3,3,1,500,5.75,800,42813,70.656,8.2192,4.8474,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,209.62,6,0.125,0.125,53.493,586.28,1.7924,71.962,3373.3,165.04,0.98954
3,4,1,500,6,800,42826,68.086,7.2494,4.8998,23.179,22.878,1.8799,15.88,190.54,60.928,83.117,209.62,6.25,0.125,0.125,52.578,594.36,1.8187,74.148,3447.2,163.27,0.9815
4,1,1,550,5.25,800,42875,77.368,11.067,4.7218,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,212.26,5.5,0.125,0.125,54.705,560.37,1.7092,67.037,3181,169.43,1.0856
1,1,2,400,5.25,850,42884,77.581,11.067,4.9345,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,203.08,5.5,0.125,0.125,54.027,563.59,1.7152,70.817,2996.8,172.26,0.84192
1,2,2,400,5.5,850,42928,73.896,9.4594,4.9888,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,203.08,5.75,0.125,0.125,53.573,579.44,1.7656,73.715,3101.3,170.38,0.83447
1,3,2,400,5.75,850,42937,70.862,8.2192,5.0536,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,203.08,6,0.125,0.125,52.835,591.13,1.8031,76.252,3186.4,168.2,0.82739
2,1,2,450,5.25,850,42940,77.482,11.067,4.8358,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,206.61,5.5,0.125,0.125,54.15,565.68,1.7218,71.348,3012.1,175.77,0.92501
2,2,2,450,5.5,850,42976,73.785,9.4594,4.8777,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,206.61,5.75,0.125,0.125,53.694,581.65,1.7727,74.293,3117.8,174.26,0.91682
2,3,2,450,5.75,850,42993,70.737,8.2192,4.929,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,206.61,6,0.125,0.125,52.951,593.45,1.8106,76.876,3204,172.45,0.90905
3,1,2,500,5.25,850,42998,77.417,11.067,4.7705,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,209.62,5.5,0.125,0.125,54.248,567.32,1.7271,71.78,3024.4,178.18,1.0069
3,2,2,500,5.5,850,43057,73.711,9.4594,4.8045,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,209.62,5.75,0.125,0.125,53.79,583.38,1.7783,74.762,3131,176.92,0.998
3,3,2,500,5.75,850,43062,70.656,8.2192,4.8474,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,209.62,6,0.125,0.125,53.044,595.25,1.8164,77.379,3218,175.35,0.98954
3,4,2,500,6,850,43123,68.086,7.2494,4.8998,23.179,22.878,1.8799,15.88,190.54,60.928,83.117,209.62,6.25,0.125,0.125,52.097,603.65,1.8436,79.702,3288.8,173.48,0.9815
4,1,2,550,5.25,850,43124,77.368,11.067,4.7218,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,212.26,5.5,0.125,0.125,54.331,568.69,1.7315,72.146,3034.7,180.02,1.0856
1,1,3,400,5.25,900,43158,77.581,11.067,4.9345,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,203.08,5.5,0.125,0.125,53.701,571.2,1.7356,75.848,2865.7,182.39,0.84192
1,2,3,400,5.5,900,43170,73.896,9.4594,4.9888,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,203.08,5.75,0.125,0.125,53.211,587.37,1.7868,78.916,2965.4,180.4,0.83447
1,3,3,400,5.75,900,43184,70.862,8.2192,5.0536,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,203.08,6,0.125,0.125,52.441,599.38,1.8252,81.603,3046.9,178.09,0.82739
2,1,3,450,5.25,900,43222,77.482,11.067,4.8358,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,206.61,5.5,0.125,0.125,53.822,573.3,1.7423,76.411,2880.3,186.11,0.92501
2,2,3,450,5.5,900,43228,73.785,9.4594,4.8777,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,206.61,5.75,0.125,0.125,53.331,589.61,1.794,79.529,2981.2,184.51,0.91682
2,3,3,450,5.75,900,43235,70.737,8.2192,4.929,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,206.61,6,0.125,0.125,52.556,601.73,1.8327,82.263,3063.7,182.59,0.90905
3,1,3,500,5.25,900,43250,77.417,11.067,4.7705,26.252,25.448,1.8799,19.41,232.96,77.896,108.56,209.62,5.5,0.125,0.125,53.92,574.96,1.7476,76.868,2892,188.66,1.0069
3,2,3,500,5.5,900,43250,73.711,9.4594,4.8045,25.067,24.501,1.8799,18.07,216.84,71.427,98.916,209.62,5.75,0.125,0.125,53.426,591.35,1.7996,80.025,2993.7,187.33,0.998
3,3,3,500,5.75,900,43276,70.656,8.2192,4.8474,24.061,23.648,1.8799,16.90,202.82,65.817,90.502,209.62,6,0.125,0.125,52.647,603.56,1.8386,82.797,3076.9,185.67,0.98954
