pressure index,i_d index,thrust index,tank pressure,inner diameter,thrust,max_alt,dry_mass,mass_fins,mass_eng,mass_tank,mass_str,mass_avionics,total length,tank_length,str_length,Isp,outer diameter,tank thickness,length_LOX,length_CH4,time to apogee,max_vel,max_Mach,max_acc,alt_max_vel,T2W,heat flux
1,3,5,500,6.25,1100,41413,64.16,5.9679,4.9623,16.485,16.523,1.8799,173.45,59.948,54,209.62,6.5,0.125,24.574,28.875,49.276,659.1,2.0004,112.37,9102.2,221.67,0.97383
1,3,4,500,6.25,1050,41556,64.16,5.9679,4.9623,16.485,16.523,1.8799,173.45,59.948,54,209.62,6.5,0.125,24.574,28.875,49.596,652.35,1.9825,106.59,9456.3,211.59,0.97383
2,3,5,550,6.25,1100,41629,63.843,5.9112,4.8898,16.297,16.523,1.8799,172.73,59.233,54,212.26,6.5,0.125,24.217,28.516,49.359,662.45,2.011,113.33,9161.4,224.96,1.0499
1,3,3,500,6.25,1000,41700,64.16,5.9679,4.9623,16.485,16.523,1.8799,173.45,59.948,54,209.62,6.5,0.125,24.574,28.875,49.942,645.06,1.9631,100.82,9837,201.52,0.97383
2,3,4,550,6.25,1050,41776,63.843,5.9112,4.8898,16.297,16.523,1.8799,172.73,59.233,54,212.26,6.5,0.125,24.217,28.516,49.681,655.65,1.993,107.51,9517.9,214.73,1.0499
3,3,5,600,6.25,1100,41812,63.582,5.8624,4.8411,16.133,16.523,1.8799,172.11,58.613,54,214.6,6.5,0.125,23.907,28.205,49.43,665.27,2.02,114.16,9211.7,227.22,1.1263
1,3,2,500,6.25,950,41857,64.16,5.9679,4.9623,16.485,16.523,1.8799,173.45,59.948,54,209.62,6.5,0.125,24.574,28.875,50.325,637.31,1.9425,95.04,10251,191.44,0.97383
2,3,3,550,6.25,1000,41924,63.843,5.9112,4.8898,16.297,16.523,1.8799,172.73,59.233,54,212.26,6.5,0.125,24.217,28.516,50.029,648.32,1.9735,101.69,9901.1,204.51,1.0499
3,3,4,600,6.25,1050,41963,63.582,5.8624,4.8411,16.133,16.523,1.8799,172.11,58.613,54,214.6,6.5,0.125,23.907,28.205,49.754,658.44,2.0019,108.3,9570.3,216.89,1.1263
4,3,5,650,6.25,1100,41969,63.364,5.8203,4.8075,15.992,16.523,1.8799,171.57,58.075,54,216.67,6.5,0.125,23.639,27.936,49.492,667.68,2.0276,114.88,9254.9,228.81,1.2016
1,3,1,500,6.25,900,42022,64.16,5.9679,4.9623,16.485,16.523,1.8799,173.45,59.948,54,209.62,6.5,0.125,24.574,28.875,50.748,628.96,1.9203,89.263,10702,181.37,0.97383
2,3,2,550,6.25,950,42086,63.843,5.9112,4.8898,16.297,16.523,1.8799,172.73,59.233,54,212.26,6.5,0.125,24.217,28.516,50.415,640.52,1.9528,95.871,10318,194.28,1.0499
3,3,3,600,6.25,1000,42114,63.582,5.8624,4.8411,16.133,16.523,1.8799,172.11,58.613,54,214.6,6.5,0.125,23.907,28.205,50.104,651.08,1.9823,102.44,9955.7,206.57,1.1263
4,3,4,650,6.25,1050,42123,63.364,5.8203,4.8075,15.992,16.523,1.8799,171.57,58.075,54,216.67,6.5,0.125,23.639,27.936,49.817,660.81,2.0094,108.98,9615.1,218.41,1.2016
2,3,1,550,6.25,900,42256,63.843,5.9112,4.8898,16.297,16.523,1.8799,172.73,59.233,54,212.26,6.5,0.125,24.217,28.516,50.841,632.12,1.9304,90.051,10772,184.06,1.0499
4,3,3,650,6.25,1000,42278,63.364,5.8203,4.8075,15.992,16.523,1.8799,171.57,58.075,54,216.67,6.5,0.125,23.639,27.936,50.168,653.41,1.9898,103.09,10002,208.01,1.2016
3,3,2,600,6.25,950,42281,63.582,5.8624,4.8411,16.133,16.523,1.8799,172.11,58.613,54,214.6,6.5,0.125,23.907,28.205,50.492,643.23,1.9615,96.587,10375,196.24,1.1263
4,3,2,650,6.25,950,42448,63.364,5.8203,4.8075,15.992,16.523,1.8799,171.57,58.075,54,216.67,6.5,0.125,23.639,27.936,50.558,645.54,1.9688,97.204,10424,197.61,1.2016
3,3,1,600,6.25,900,42456,63.582,5.8624,4.8411,16.133,16.523,1.8799,172.11,58.613,54,214.6,6.5,0.125,23.907,28.205,50.92,634.8,1.939,90.729,10831,185.91,1.1263
4,3,1,650,6.25,900,42627,63.364,5.8203,4.8075,15.992,16.523,1.8799,171.57,58.075,54,216.67,6.5,0.125,23.639,27.936,50.988,637.07,1.9463,91.314,10883,187.21,1.2016
